No;Code;Company Name;Listing Date;Shares;Listing Board
1;AALI;Astra Agro Lestari Tbk.;09 Dec 1997;1,924,688,333;Main
2;ABBA;Mahaka Media Tbk.;03 Apr 2002;3,935,892,857;Watchlist
3;ABDA;Asuransi Bina Dana Arta Tbk.;06 Jul 1989;620,806,680;Watchlist
4;ABMM;ABM Investama Tbk.;06 Dec 2011;2,753,165,000;Main
5;ACES;Aspirasi Hidup Indonesia Tbk.;06 Nov 2007;17,120,389,700;Main
6;ACST;Acset Indonusa Tbk.;24 Jun 2013;12,675,160,000;Development
7;ADES;Akasha Wira International Tbk.;13 Jun 1994;589,896,800;Development
8;ADHI;Adhi Karya (Persero) Tbk.;18 Mar 2004;8,407,608,979;Main
9;ADMF;Adira Dinamika Multi Finance T;31 Mar 2004;1,000,000,000;Development
10;ADMG;Polychem Indonesia Tbk;20 Oct 1993;3,889,179,559;Development
11;ADRO;Alamtri Resources Indonesia Tb;16 Jul 2008;30,758,665,900;Main
12;AGII;Samator Indo Gas Tbk.;28 Sep 2016;3,066,660,000;Development
13;AGRO;Bank Raya Indonesia Tbk.;08 Agt 2003;24,493,093,216;Main
14;AGRS;Bank IBK Indonesia Tbk.;22 Dec 2014;47,367,057,874;Development
15;AHAP;Asuransi Harta Aman Pratama Tb;14 Sep 1990;4,900,000,000;Development
16;AIMS;Artha Mahiya Investama Tbk.;20 Jul 2001;220,000,000;Development
17;AISA;FKS Food Sejahtera Tbk.;11 Jun 1997;9,311,800,000;Main
18;AKKU;Anugerah Kagum Karya Utama Tbk;01 Nov 2004;6,449,463,636;Watchlist
19;AKPI;Argha Karya Prima Industry Tbk;18 Dec 1992;612,248,000;Development
20;AKRA;AKR Corporindo Tbk.;03 Oct 1994;20,073,474,600;Main
21;AKSI;Mineral Sumberdaya Mandiri Tbk;13 Jul 2001;720,000,000;Development
22;ALDO;Alkindo Naratama Tbk.;12 Jul 2011;2,700,713,744;Development
23;ALKA;Alakasa Industrindo Tbk;12 Jul 1990;507,665,055;Development
24;ALMI;Alumindo Light Metal Industry ;02 Jan 1997;3,816,000,000;Watchlist
25;ALTO;Tri Banyan Tirta Tbk.;10 Jul 2012;2,191,870,558;Watchlist
26;AMAG;Asuransi Multi Artha Guna Tbk.;23 Dec 2005;5,001,552,516;Development
